============================================================
bootstrap: 過去データ一括取得
対象 dataspec: RACE, DIFN, HOSE, BLOD, SLOP, WOOD, HOYU, YSCH, TOKU, COMM, MING
option = 4 (ダイアログなしセットアップ)
fromtime = 20210101000000
============================================================

[01:17:30] read: {'dataspec': 'RACE', 'files_done': 490, 'records': 445886, 'file': 'JGVM2023099920231002151951.jvd'}
[01:17:35] read: {'dataspec': 'RACE', 'files_done': 494, 'records': 449537, 'file': 'O4VM2023099920231002151953.jvd'}
[01:17:40] read: {'dataspec': 'RACE', 'files_done': 499, 'records': 453002, 'file': 'SEVM2023099920231002152000.jvd'}
[01:17:45] read: {'dataspec': 'RACE', 'files_done': 499, 'records': 456706, 'file': 'SEVM2023099920231002152000.jvd'}
[01:17:50] read: {'dataspec': 'RACE', 'files_done': 505, 'records': 460243, 'file': 'JGVM2023109920231103142109.jvd'}
[01:17:55] read: {'dataspec': 'RACE', 'files_done': 510, 'records': 463897, 'file': 'O5VM2023109920231103142111.jvd'}
[01:18:00] read: {'dataspec': 'RACE', 'files_done': 514, 'records': 467472, 'file': 'SEVM2023109920231103142120.jvd'}
[01:18:05] read: {'dataspec': 'RACE', 'files_done': 514, 'records': 471172, 'file': 'SEVM2023109920231103142120.jvd'}
[01:18:10] read: {'dataspec': 'RACE', 'files_done': 520, 'records': 474612, 'file': 'JGVM2023119920231201145613.jvd'}
[01:18:15] read: {'dataspec': 'RACE', 'files_done': 528, 'records': 478039, 'file': 'RAVM2023119920231201145622.jvd'}
[01:18:20] read: {'dataspec': 'RACE', 'files_done': 529, 'records': 481712, 'file': 'SEVM2023119920231201145623.jvd'}
[01:18:25] read: {'dataspec': 'RACE', 'files_done': 536, 'records': 485148, 'file': 'HRVM2023129920231229143329.jvd'}
[01:18:30] read: {'dataspec': 'RACE', 'files_done': 537, 'records': 488835, 'file': 'JGVM2023129920231229143443.jvd'}
[01:18:35] read: {'dataspec': 'RACE', 'files_done': 546, 'records': 492322, 'file': 'SEVM2023129920231229143454.jvd'}
[01:18:40] read: {'dataspec': 'RACE', 'files_done': 546, 'records': 496185, 'file': 'SEVM2023129920231229143454.jvd'}
