date,track_code,race_num,grade_code,top_horse_num,top_rank,top_mark,p_win,p_raw_blended,ev,kelly,confidence,odds,popularity,tm_score,tm_rank,dm_rank,tan_payout,fuku_payout,y_win
20250119,07,02,,01,1,◎,0.063300,0.531939,3.203000,0.044400,接戦,50.60,6,4220,8,6,0,0,0
20250119,07,03,,16,1,◎,0.117900,0.193091,0.000000,0.000000,混戦,0.00,0,6470,4,6,0,0,0
20250119,07,04,,09,1,◎,0.146100,0.523767,13.276000,0.136600,標準,90.90,9,5740,4,5,0,0,0
20250119,07,05,,07,1,◎,0.081400,0.140028,1.645000,0.033600,混戦,20.20,0,5800,4,6,510,190,1
20250119,07,06,,04,1,◎,0.092000,1.000000,0.000000,0.000000,標準,0.00,0,3030,10,9,0,0,0
20250119,07,07,,05,1,◎,0.177800,0.594490,10.777000,0.164000,標準,60.60,2,6170,3,6,0,0,0
20250119,07,08,,06,1,◎,0.119300,0.220559,0.000000,0.000000,混戦,0.00,4,7170,1,1,260,150,1
20250119,07,09,?,05,1,◎,0.124300,0.500000,1.119000,0.014800,混戦,9.00,90,5480,5,2,0,0,0
20250119,07,10,0,11,1,◎,0.160900,0.196234,0.000000,0.000000,接戦,0.00,0,4120,13,15,0,0,0
20250119,07,11,o,12,1,◎,0.096800,0.423722,0.978000,0.000000,接戦,10.10,1,3770,12,4,0,0,0
20250119,07,12,,08,1,◎,0.089300,0.347442,80.988000,0.088300,接戦,907.00,80,5490,7,11,0,700,0
20250125,06,01,,16,1,◎,0.127900,0.419517,0.000000,0.000000,接戦,0.00,13,4490,9,16,0,0,0
20250125,06,02,,08,1,◎,0.070800,0.203139,4.321000,0.055300,混戦,61.00,12,3000,12,16,0,0,0
20250125,06,03,,07,1,◎,0.279700,0.497152,2.797000,0.199600,標準,10.00,70,5860,6,4,0,0,0
20250125,06,04,,01,1,◎,0.069700,0.226237,1.415000,0.021500,接戦,20.30,3,4040,14,15,0,0,0
20250125,06,05,,18,1,◎,0.119600,0.209759,0.598000,0.000000,混戦,5.00,50,6260,2,6,0,0,0
20250125,06,06,,05,1,◎,0.165200,0.652629,6.674000,0.144000,標準,40.40,4,5400,3,2,0,0,0
20250125,06,07,,12,1,◎,0.129100,0.460106,0.000000,0.000000,接戦,0.00,2,6130,3,3,660,210,1
20250125,06,08,,02,1,◎,0.092100,0.260469,9.322000,0.083100,接戦,101.20,12,2630,16,16,0,0,0
20250125,06,09,�,06,1,◎,0.175000,0.391036,0.000000,0.000000,接戦,0.20,2,6680,2,5,240,130,1
20250125,06,10,�,05,1,◎,0.111500,0.266483,8.929000,0.100200,接戦,80.10,86,5860,4,6,0,0,0
20250125,06,11,0,06,1,◎,0.259200,0.466611,26.181000,0.251800,標準,101.00,3,7130,2,6,340,170,1
20250125,06,12,,06,1,◎,0.190000,0.220184,0.000000,0.000000,標準,0.40,3,6980,4,4,0,0,0
20250125,07,01,,13,1,◎,0.127900,0.417174,0.000000,0.000000,接戦,0.00,3,7320,3,5,0,260,0
20250125,07,02,,04,1,◎,0.082300,0.236158,12.464000,0.076200,接戦,151.50,13,3750,13,16,0,0,0
20250125,07,03,,08,1,◎,0.114900,0.190335,0.000000,0.000000,混戦,0.00,16,3730,12,14,0,0,0
20250125,07,04,,05,1,◎,0.127100,0.158604,0.381000,0.000000,混戦,3.00,30,7350,1,6,450,180,1
20250125,07,05,,01,1,◎,0.153500,0.160148,0.000000,0.000000,接戦,0.00,2,5670,7,7,0,0,0
20250125,07,06,,16,1,◎,0.070700,0.289586,4.272000,0.055100,接戦,60.40,5,4350,12,14,0,0,0
20250125,07,07,,01,1,◎,0.112800,0.568892,9.083000,0.101700,標準,80.50,66,5060,8,10,0,0,0
20250125,07,08,,16,1,◎,0.105000,0.337586,43.557000,0.102800,接戦,415.00,6,5910,5,3,0,0,0
20250125,07,09,L,04,1,◎,0.133000,0.241822,1.343000,0.037700,接戦,10.10,1,3840,7,10,0,0,0
20250125,07,10,J,01,1,◎,0.059300,0.608383,41.909000,0.057900,接戦,707.00,70,5380,5,4,0,190,0
20250125,07,11,0,14,1,◎,0.063100,0.144757,1.912000,0.031100,混戦,30.30,6,2800,13,13,0,0,0
20250125,07,12,,02,1,◎,0.145200,0.324898,2.934000,0.100700,接戦,20.20,2,3240,10,9,0,0,0
20250125,10,01,,09,1,◎,0.165100,1.000000,0.495000,0.000000,標準,3.00,10,3260,11,7,0,1820,0
20250125,10,02,,14,1,◎,0.200400,0.248802,0.000000,0.000000,接戦,0.00,0,7060,2,17,0,0,0
20250125,10,03,,08,1,◎,0.116300,0.239506,0.000000,0.000000,混戦,0.00,3,7660,2,1,0,150,0
20250125,10,04,,04,1,◎,0.124900,0.353828,5.085000,0.102900,接戦,40.70,59,0,0,9,0,0,0
20250125,10,05,,03,1,◎,0.292200,1.000000,1.169000,0.056200,標準,4.00,40,0,0,5,0,0,0
20250125,10,06,,06,1,◎,0.044300,0.551188,40.122000,0.043200,接戦,906.00,17,6470,2,4,1770,390,1
20250125,10,07,,03,1,◎,0.107900,0.604169,11.921000,0.099700,標準,110.50,98,3850,11,1,0,0,0
20250125,10,08,,10,1,◎,0.033600,1.000000,1.360000,0.009100,標準,40.50,7,5690,6,5,0,220,0
20250125,10,09,0,04,1,◎,0.125500,0.571643,0.000000,0.000000,接戦,0.00,1,4170,11,7,0,0,0
20250125,10,10,u,16,1,◎,0.150100,0.300365,3.031000,0.105800,標準,20.20,2,3280,14,15,0,0,0
20250125,10,11,�,13,1,◎,0.116500,0.262534,83.681000,0.115300,接戦,718.10,70,4420,11,17,0,0,0
20250125,10,12,,06,1,◎,0.161400,0.414313,4.841000,0.132500,接戦,30.00,35,7150,1,4,0,130,0
20250126,06,01,,16,1,◎,0.142300,0.160447,0.000000,0.000000,接戦,0.00,5,4590,10,8,0,0,0
