date,track_code,race_num,grade_code,tentative,top_horse_num,top_rank,top_has_mark,p_win,p_raw_blended,ev,odds,y_top_is_winner,tan_payout_if_bet
20250126,06,06,,0,09,1,1,0.045400,0.383423,27.507000,606.00,0,0
20250126,06,07,,0,02,1,1,0.085400,0.528316,4.323000,50.60,0,0
20250126,06,08,,0,14,1,1,0.135000,0.396583,0.000000,0.00,0,0
20250126,06,09,0,0,07,1,1,0.264500,0.381425,0.794000,3.00,0,0
20250126,06,10,E,0,09,1,1,0.191200,0.327885,19.311000,101.00,0,0
20250126,06,11,0,0,05,1,1,0.113100,0.236846,16.008000,141.50,0,0
20250126,06,12,,0,05,1,1,0.302800,0.353087,0.363000,1.20,0,0
20250126,07,01,,0,09,1,1,0.128000,0.325135,39.178000,306.00,0,0
20250126,07,02,,0,09,1,1,0.311200,0.465285,0.000000,0.90,0,0
20250126,07,03,,0,06,1,1,0.223100,0.329230,0.000000,1.00,0,0
20250126,07,04,,0,03,1,1,0.168700,1.000000,6.814000,40.40,0,0
20250126,07,05,,0,04,1,1,0.272100,0.165431,0.381000,1.40,0,0
20250126,07,06,,0,05,1,1,0.084900,0.233437,8.576000,101.00,0,0
20250126,07,07,,0,12,1,1,0.097200,0.543628,0.000000,0.00,0,0
20250126,07,08,,0,08,1,1,0.345000,0.151013,0.690000,2.00,1,150
20250126,07,09,g,0,04,1,1,0.230300,1.000000,1.151000,5.00,1,250
20250126,07,10,0,0,05,1,1,0.342700,0.342870,0.000000,0.00,1,1240
20250126,07,11,0,0,12,1,1,0.128600,0.414318,0.643000,5.00,0,0
20250126,07,12,,0,11,1,1,0.204600,0.369700,26.641000,130.20,0,0
20250126,10,01,,0,03,1,1,0.000000,0.000000,0.000000,202.00,0,0
20250126,10,02,,0,02,1,1,0.163800,0.349767,1.654000,10.10,0,0
20250126,10,03,,0,09,1,1,0.378400,0.508618,0.416000,1.10,0,0
20250126,10,04,,0,02,1,1,0.164300,1.000000,0.986000,6.00,0,0
20250126,10,05,,0,14,1,1,0.087300,0.578009,0.000000,0.00,0,0
20250126,10,06,,0,02,1,1,0.316700,0.331597,1.900000,6.00,0,0
20250126,10,07,,0,07,1,1,0.057800,0.580111,5.246000,90.80,0,0
20250126,10,08,,0,08,1,1,0.078300,0.275668,2.396000,30.60,0,0
20250126,10,09,h,0,08,1,1,0.315600,0.203780,5.080000,16.10,0,0
20250126,10,10,?,0,11,1,1,0.206300,0.369905,12.480000,60.50,0,0
20250126,10,11,f,0,10,1,1,0.141500,0.369408,0.000000,1.00,0,0
20250126,10,12,,0,06,1,1,0.293100,0.414229,2.052000,7.00,0,0
20250201,05,01,,0,04,1,1,0.120800,0.284527,0.000000,0.00,0,0
20250201,05,02,,0,11,1,1,0.192500,0.250026,0.962000,5.00,0,0
20250201,05,03,,0,06,1,1,0.063900,0.258828,12.909000,202.00,0,0
20250201,05,04,,0,07,1,1,0.131100,0.253867,0.000000,0.00,0,0
20250201,05,05,,0,12,1,1,0.144500,0.181033,0.000000,0.00,0,0
20250201,05,06,,0,02,1,1,0.084500,0.299592,0.000000,0.40,0,0
20250201,05,07,,0,10,1,1,0.166000,0.225828,0.000000,0.00,0,0
20250201,05,08,,0,04,1,1,0.048900,1.000000,3.952000,80.80,0,0
20250201,05,09,?,0,09,1,1,0.164800,0.211958,0.000000,0.60,0,0
20250201,05,10,L,0,02,1,1,0.000000,0.000000,0.000000,3.00,0,0
20250201,05,11,?,0,10,1,1,0.133000,0.192366,0.000000,0.40,0,0
20250201,05,12,,0,11,1,1,0.117700,0.241290,0.000000,0.90,0,0
20250201,08,01,,0,13,1,1,0.126800,0.515087,3.869000,30.50,0,0
20250201,08,02,,0,04,1,1,0.398600,0.530555,0.797000,2.00,0,0
20250201,08,03,,0,15,1,1,0.180500,0.229962,0.542000,3.00,0,0
20250201,08,04,,0,08,1,1,0.126800,0.517403,5.124000,40.40,0,0
20250201,08,05,,0,12,1,1,0.122700,0.129816,0.000000,0.00,0,0
20250201,08,06,,0,10,1,1,0.175000,0.414016,0.000000,0.00,0,0
20250201,08,07,,0,03,1,1,0.115000,1.000000,0.000000,0.00,0,0
20250201,08,08,,0,01,1,1,0.075400,0.282630,0.000000,0.00,0,0
20250201,08,09,h,0,04,1,1,0.202200,0.370725,0.000000,0.00,0,0
20250201,08,10,?,0,05,1,1,0.084200,0.179791,42.522000,505.00,1,430
20250201,08,11,f,0,10,1,1,0.088900,0.402996,8.026000,90.30,0,0
20250201,08,12,,0,04,1,1,0.160000,0.244926,0.000000,0.00,0,0
20250201,10,01,,0,01,1,1,0.192600,0.351776,0.000000,0.00,0,0
20250201,10,02,,0,09,1,1,0.121000,0.187630,2.445000,20.20,1,410
20250201,10,03,,0,14,1,1,0.090400,0.342536,10.040000,111.10,0,0
20250201,10,04,,0,09,1,1,0.285700,0.345203,0.571000,2.00,0,0
20250201,10,05,,0,09,1,1,0.212600,0.552371,128.179000,603.00,0,0
